2023/12/11 15:25:41:285205 : image coordinates received
2023/12/11 15:25:41:293963 : coordinates received #10
2023/12/11 15:25:41:908738 : image coordinates received
2023/12/11 15:25:41:917484 : coordinates received #11
2023/12/11 15:25:42:515411 : image coordinates received
2023/12/11 15:25:42:531802 : coordinates received #12
2023/12/11 15:25:43:137552 : image coordinates received
2023/12/11 15:25:43:145495 : coordinates received #13
2023/12/11 15:25:43:763111 : image coordinates received
2023/12/11 15:25:43:782049 : coordinates received #14
2023/12/11 15:25:44:371476 : image coordinates received
2023/12/11 15:25:44:381797 : coordinates received #15
2023/12/11 15:25:45:430499 : path request received
2023/12/11 15:25:45:439230 : path error sent [invalid number of images: 0]
2023/12/11 15:26:57:117865 : profiles received 
2023/12/11 15:26:57:145530 : ==== new cycle 6
2023/12/11 15:26:57:168900 : image coordinates received
2023/12/11 15:26:57:174807 : coordinates received #1
2023/12/11 15:26:57:730434 : image coordinates received
2023/12/11 15:26:57:747741 : coordinates received #2
2023/12/11 15:26:58:338985 : image coordinates received
2023/12/11 15:26:58:347943 : coordinates received #3
2023/12/11 15:26:58:961739 : image coordinates received
2023/12/11 15:26:58:977998 : coordinates received #4
2023/12/11 15:26:59:573751 : image coordinates received
2023/12/11 15:26:59:582714 : coordinates received #5
2023/12/11 15:27:00:198764 : image coordinates received
2023/12/11 15:27:00:209258 : coordinates received #6
2023/12/11 15:27:00:810346 : image coordinates received
2023/12/11 15:27:00:819173 : coordinates received #7
2023/12/11 15:27:01:434014 : image coordinates received
2023/12/11 15:27:01:443650 : coordinates received #8
2023/12/11 15:27:02:041860 : image coordinates received
2023/12/11 15:27:02:052191 : coordinates received #9
2023/12/11 15:27:02:665509 : image coordinates received
2023/12/11 15:27:02:674487 : coordinates received #10
2023/12/11 15:27:03:274790 : image coordinates received
2023/12/11 15:27:03:291100 : coordinates received #11
2023/12/11 15:27:03:914140 : image coordinates received
2023/12/11 15:27:03:924093 : coordinates received #12
2023/12/11 15:27:04:504701 : image coordinates received
2023/12/11 15:27:04:517140 : coordinates received #13
2023/12/11 15:27:05:128491 : image coordinates received
2023/12/11 15:27:05:137267 : coordinates received #14
2023/12/11 15:27:05:738850 : image coordinates received
2023/12/11 15:27:05:752270 : coordinates received #15
2023/12/11 15:27:06:801087 : path request received
2023/12/11 15:27:06:811601 : path error sent [invalid number of images: 0]
2023/12/11 15:46:55:472436 : profiles received 
